[2026-06-16 16:17] 15 partidos | Atlanta Braves 78% | Los Angeles Dodgers 72% | New York Yankees 71%
[2026-06-16 16:31] 15 partidos | Atlanta Braves 78% | Los Angeles Dodgers 73% | New York Yankees 71%
[2026-06-16 16:46] 15 partidos | Atlanta Braves 78% | Los Angeles Dodgers 73% | New York Yankees 71%
[2026-06-16 20:38] 15 partidos | Atlanta Braves 78% | Los Angeles Dodgers 73% | Washington Nationals 71%
[2026-06-17 07:40] 15 partidos | Atlanta Braves 76% | Los Angeles Dodgers 76% | New York Yankees 74%
[2026-06-18 10:09] 15 partidos | New York Yankees 79% | Atlanta Braves 74% | New York Yankees 73%
[2026-06-20 01:10] 15 partidos | Los Angeles Dodgers 82% | New York Yankees 76% | New York Yankees 75%
[2026-06-20 10:08] 15 partidos | Los Angeles Dodgers 82% | New York Yankees 77% | New York Yankees 75%
[2026-06-24 19:20] 15 partidos | Toronto Blue Jays 67% | Detroit Tigers 65% | Tampa Bay Rays 64%
[2026-06-26 00:11] 15 partidos | Milwaukee Brewers 73% | Tampa Bay Rays 67% | Pittsburgh Pirates 66%
[2026-06-26 13:55] 15 partidos | Milwaukee Brewers 73% | Tampa Bay Rays 68% | Minnesota Twins 66%
[2026-06-27 22:59] 15 partidos | Chicago White Sox 71% | Tampa Bay Rays 70% | Milwaukee Brewers 66%
[2026-06-30 18:16] 15 partidos | New York Yankees 71% | Milwaukee Brewers 70% | Philadelphia Phillies 69%
[2026-07-01 13:44] 15 partidos | Milwaukee Brewers 75% | Philadelphia Phillies 69% | Philadelphia Phillies 68%
[2026-07-01 14:13] 15 partidos | Milwaukee Brewers 75% | Philadelphia Phillies 68% | Philadelphia Phillies 67%
[2026-07-01 14:52] 15 partidos | Milwaukee Brewers 69% | Milwaukee Brewers 68% | Philadelphia Phillies 62%
[2026-07-01 14:52] 15 partidos | Milwaukee Brewers 69% | Milwaukee Brewers 68% | Philadelphia Phillies 62%
[2026-07-01 14:52] 15 partidos | Milwaukee Brewers 67% | Milwaukee Brewers 66% | Philadelphia Phillies 60%
[2026-07-01 14:53] 15 partidos | Milwaukee Brewers 71% | Milwaukee Brewers 70% | Philadelphia Phillies 58%
[2026-07-01 14:54] 15 partidos | Milwaukee Brewers 69% | Milwaukee Brewers 68% | Philadelphia Phillies 59%
[2026-07-01 14:54] 15 partidos | Milwaukee Brewers 66% | Milwaukee Brewers 65% | Philadelphia Phillies 59%
[2026-07-01 15:16] 15 partidos | Milwaukee Brewers 66% | Milwaukee Brewers 65% | Philadelphia Phillies 59%
[2026-07-01 15:19] 15 partidos | Milwaukee Brewers 67% | Milwaukee Brewers 66% | Philadelphia Phillies 59%
[2026-07-01 15:29] 15 partidos | Milwaukee Brewers 67% | Milwaukee Brewers 66% | Philadelphia Phillies 59%
[2026-07-01 15:33] 15 partidos | Milwaukee Brewers 66% | Milwaukee Brewers 65% | Philadelphia Phillies 59%
[2026-07-01 15:36] 15 partidos | Milwaukee Brewers 68% | Milwaukee Brewers 67% | Philadelphia Phillies 59%
[2026-07-01 15:40] 15 partidos | Milwaukee Brewers 68% | Milwaukee Brewers 67% | Philadelphia Phillies 59%
